2016CK137,14.0*,2086-02-02 07:42,1/31250,-5.83,0,14.91,396
2016GK2,12.0*,2096-03-26 17:38,1/16207,-5.84,0,14.43,342
2010TW149,28.0*,2093-10-07 00:42,1/223713,-5.84,0,20.4,2340
2007EV,41.0*,2104-09-20 20:56,1/312500,-5.84,0,15.39,3667
1999RZ31,74.0*,2056-09-05 03:22,1/1.86E6,-5.86,0,13.86,6397
2013RO30,9.0*,2090-09-04 21:19,1/9174,-5.87,0,14.52,1281
2011BU59,24.0*,2096-01-17 04:12,1/113507,-5.88,0,15.96,2154
2008ST,16.0*,2080-09-24 11:20,1/31250,-5.88,0,11.63,3093
2007TL16,24.0*,2090-10-06 07:34,1/116009,-5.88,0,15.99,3442
2004VM24,30.0*,2078-11-13 02:48,1/264550,-5.91,0,17.03,4506
2007UO6,14.0*,2031-10-17 06:00,1/129366,-5.92,0,16.18,3428
2011ES4,31.0*,2055-09-02 17:10,1/343642,-5.93,0,13.58,2154
2011BF40,46.0*,2083-06-27 12:04,1/1.12E6,-5.93,0,21.62,2154
2005VN5,17.0*,2071-11-12 13:38,1/49999,-5.93,0,12.97,4139
1994GV,14.0*,2065-04-10 12:53,1/35971,-5.95,0,13.79,8368
2014UD57,29.0*,2086-10-21 05:11,1/209205,-5.96,0,14.18,868
2014GY44,35.0*,2080-03-29 01:13,1/480769,-5.97,0,16.65,1069
2009FG,33.0*,2077-12-24 13:03,1/316455,-5.97,0,14.43,2917
2008YO2,38.0*,2079-12-24 18:29,1/719424,-5.97,0,19.87,3002
2008DB,31.0*,2046-08-14 10:42,1/414937,-5.98,0,13.17,3309
2012BU1,12.0*,2100-01-13 19:05,1/23364,-5.99,0,14.33,1879
2016NK22,7.0*,2111-07-14 06:03,1/4784,-6.0,0,13.12,245
2011MX,18.0*,2081-06-19 08:14,1/88495,-6.0,0,16.51,2087
2009VA,8.0*,2025-11-06 20:14,1/47619,-6.02,0,13.89,2683
2007XZ9,46.0*,2068-11-28 00:22,1/1.16E6,-6.02,0,17.17,3398
2017FC3,82.0*,2055-10-08 11:07,1/9.09E6,-6.06,0,17.97,23
2015HV182,210.0*,2017-09-19 16:55,1/2.75E9,-6.06,0,21.86,651
2012VJ38,9.0*,2077-11-14 15:36,1/12033,-6.06,0,12.03,1581
2009WR52,9.0*,2060-11-22 13:06,1/18656,-6.06,0,12.43,2666
2014SR261,18.0*,2058-09-19 03:10,1/234741,-6.07,0,18.93,896
2011BL45,15.0*,2071-08-01 12:10,1/48780,-6.07,0,11.31,2154
2011TO,23.0*,2064-09-27 09:32,1/228310,-6.08,0,14.08,1987
2011FQ6,12.0*,2075-03-23 23:33,1/42016,-6.08,0,15.34,2154
2013WZ44,31.0*,2111-11-26 08:47,1/328947,-6.12,0,16.81,1198
2012TV,38.0*,2070-04-03 02:17,1/1.29E6,-6.12,0,20.06,1618
2011CU46,35.0*,2091-08-12 19:36,1/714285,-6.12,0,19.76,2154
2016CY135,54.0*,2103-03-11 07:52,1/1.01E6,-6.13,0,13.05,396
2010UY7,8.0*,2092-10-28 04:55,1/10040,-6.13,0,11.84,2324
2009BF58,15.0*,2083-01-22 05:50,1/53475,-6.13,0,13.03,2963
2016TQ18,23.0*,2110-10-01 03:52,1/145137,-6.14,0,14.73,168
2001SB170,140.0*,2095-03-17 18:52,1/2.45E7,-6.14,0,25.11,5644
2015UR67,23.0*,2091-10-25 02:33,1/217864,-6.15,0,16.13,497
2016RQ41,410.0*,2023-02-15 00:39,1/2.79E9,-6.16,0,17.01,169
2014QF33,75.0*,2082-08-17 08:14,1/8.77E6,-6.16,0,25.83,947
2015XP,29.0*,2067-12-04 01:39,1/471698,-6.17,0,13.88,465
2015EO,20.0*,2074-09-12 08:53,1/239808,-6.17,0,18.11,733
2009RR,32.0*,2108-09-17 08:31,1/434782,-6.17,0,17.11,2739
2017DC120,150.0*,2024-01-30 16:39,1/1.95E8,-6.17,0,16.61,23
2005AU3,27.0*,2102-01-06 04:39,1/332225,-6.18,0,18.41,4446
2016TY55,18.0*,2082-10-20 04:44,1/93457,-6.19,0,12.09,166
2017AA21,24.0*,2020-02-12 05:01,1/5.71E6,-6.19,0,13.71,70
2013NH6,90.0*,2060-06-29 19:51,1/2.04E7,-6.2,0,24.48,1360
2013GA55,12.0*,2114-04-06 01:00,1/33333,-6.2,0,14.56,1431
2012BL14,10.0*,2031-01-19 16:58,1/232558,-6.2,0,23.03,1877
2017DW119,19.0*,2023-01-19 13:34,1/2.43E6,-6.2,0,14.73,22
2000LG6,7.0*,2088-05-27 06:10,1/6211,-6.21,0,11.38,6123
2011BG10,23.0*,2051-01-24 09:55,1/505050,-6.22,0,16.63,2154
2014AD16,14.0*,2087-01-08 08:27,1/63694,-6.23,0,13.94,1162
2005WG57,79.0*,2104-08-23 21:04,1/3.41E6,-6.23,0,14.91,4134
2015BE511,8.0*,2078-01-27 11:00,1/21008,-6.24,0,14.96,775
2006BC8,39.0*,2085-07-26 01:47,1/1.02E6,-6.24,0,17.27,4065
2014MA68,27.0*,2026-05-03 12:33,1/1.61E6,-6.26,0,11.96,957
2008CT1,13.0*,2088-02-05 10:51,1/72992,-6.26,0,17.23,3323
2014FE,13.0*,2034-09-21 19:13,1/438596,-6.27,0,22.72,1087
2013HT14,23.0*,2077-04-16 13:35,1/636942,-6.27,0,23.35,1420
2012VS76,17.0*,2084-11-16 16:06,1/154083,-6.27,0,16.03,1579
2009HW67,25.0*,2079-04-24 14:17,1/799999,-6.27,0,25.29,2875
2006CD,340.0*,2067-07-20 19:11,1/1.06E8,-6.27,0,15.23,4055
2008EV84,35.0*,2041-03-07 15:52,1/1.92E6,-6.28,0,16.11,3285
2007YM,26.0*,2017-11-30 10:00,1/1.61E6,-6.28,0,13.82,3381
2016AB166,54.0*,2108-01-13 08:08,1/3.72E6,-6.29,0,24.33,421
2012XM16,29.0*,2081-12-20 00:56,1/653594,-6.3,0,16.91,1553
2016CG18,8.0*,2062-08-07 04:24,1/28169,-6.31,0,11.95,402
2017AB21,340.0*,2019-09-18 03:40,1/3.34E9,-6.31,0,14.78,70
2016JT38,360.0*,2018-11-29 14:08,1/3.85E9,-6.32,0,17.32,304
2005TA,15.0*,2110-10-06 14:00,1/55555,-6.34,0,12.17,4177
2003UQ25,61.0*,2093-03-17 12:00,1/4.59E6,-6.34,0,21.2,1474
2015DD54,34.0*,2116-03-04 11:20,1/487804,-6.36,0,13.04,752
2009TU,14.0*,2086-10-09 23:59,1/138312,-6.36,0,18.83,2710
2014SR223,19.0*,2063-09-27 15:22,1/434782,-6.37,0,18.89,900
2015TL21,22.0*,2061-10-07 12:10,1/684931,-6.38,0,19.11,521
2011DS,17.0*,2080-02-24 17:57,1/132450,-6.38,0,12.95,2154
2007EO88,22.0*,2110-09-19 21:24,1/224719,-6.38,0,15.66,3649
2013BR27,12.0*,2092-01-17 02:30,1/72463,-6.4,0,15.63,1512
2009JL2,27.0*,2057-05-13 16:22,1/961538,-6.41,0,17.01,2860
2016SA2,10.0*,2111-09-26 14:02,1/29940,-6.45,0,12.32,186
2005NX55,160.0*,2019-01-06 06:23,1/7.94E8,-6.45,0,27.56,4280
2016AU193,36.0*,2109-12-31 16:09,1/2.14E6,-6.46,0,24.48,415
2006BM8,35.0*,2113-01-21 22:57,1/1.08E6,-6.46,0,18.53,1459
2004VZ14,37.0*,2076-11-01 21:35,1/1.92E6,-6.46,0,18.89,4506
2009HC,47.0*,2113-04-11 09:40,1/1.09E6,-6.47,0,11.78,2875
2014GQ17,16.0*,2067-06-13 08:43,1/183823,-6.48,0,12.41,1071
2016DA31,4.0*,2031-09-04 19:42,1/50505,-6.49,0,17.7,347
2014OX3,12.0*,2116-07-24 17:50,1/77519,-6.5,0,16.99,959
